,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_sentiment_positive,reviews_sentiment_negative,reviews_sentiment_neutral,reviews_sentiment_mixed,number_sentiment_reviews,occupation_percentage_categoric
0,"Boston, Massachusetts, United States",within an hour,100%,100%,f,1,"['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'jumio']",t,t,Roslindale,Boston,02131,42.286240821867416,-71.13437396457161,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",,$65.00,$95.00,$10.00,0,$0.00,2,15,36,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,t,moderate,f,f,94.51,2.87,0.73,1.88,36,1
1,"Boston, Massachusetts, United States",within a few hours,100%,88%,t,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,Boston,02131,42.2924378866568,-71.13576525374667,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$65.00,,,1,$20.00,3,45,41,98.0,10.0,9.0,10.0,10.0,9.0,10.0,f,f,moderate,t,f,97.44,1.28,1.19,0.09,41,1
2,"Boston, Massachusetts, United States",within a few hours,100%,50%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,Boston,,42.28110618827366,-71.12102117350553,House,Private room,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$75.00,$100.00,$50.00,2,$25.00,1,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,99.95,0.0,0.04,0.0,1,3
3,"Boston, Massachusetts, United States",within an hour,100%,100%,t,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.28451220982457,-71.1362580468337,House,Private room,2,1.5,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",,$79.00,,$15.00,1,$0.00,2,31,29,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,99.6,0.01,0.37,0.01,29,1
4,"Boston, Massachusetts, United States",within a few hours,100%,95%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.29168980076903,-71.13189277475922,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron}",,$75.00,,$30.00,1,$0.00,2,1125,8,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,99.94,0.0,0.04,0.02,8,3
5,"Milton, Massachusetts, United States",within an hour,98%,96%,f,5,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Roslindale,Boston,02131,42.28138962623448,-71.13119041987277,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",,$100.00,,,1,$25.00,1,1125,57,90.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,87.92,1.34,1.73,9.01,57,1
6,"Boston, Massachusetts, United States",within a few hours,100%,100%,t,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.28194609607024,-71.14102161135577,House,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$75.00,,$10.00,1,$15.00,1,1125,67,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,t,t,99.61,0.02,0.13,0.23,67,1
7,"Boston, Massachusetts, United States",within an hour,100%,100%,t,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,Roslindale,02131,42.28587763920193,-71.12490955692161,Condominium,Private room,2,1.0,1.0,2.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer""}",12.0,$58.00,,,2,$0.00,2,1125,65,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,moderate,f,f,95.65,0.15,0.14,4.06,65,1
8,"Boston, Massachusetts, United States",within an hour,100%,100%,t,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,Boston,02131,42.28882028358453,-71.13951010210121,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,$229.00,$200.00,$50.00,4,$25.00,4,10,33,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,93.63,0.16,0.09,6.11,33,3
9,"Boston, Massachusetts, United States",within a day,83%,100%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,Boston,02131,42.28644819778879,-71.13932538848039,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",Essentials,""Lock on Bedroom Door"",""Hair Dryer"",""translation missing: en.hosting_amenity_50""}",,$60.00,,$30.00,1,$10.00,1,1125,1,80.0,10.0,8.0,8.0,10.0,10.0,10.0,f,f,flexible,f,f,99.97,0.0,0.02,0.0,1,1
