listing_id,mean_positive,mean_negative,mean_neutral,mean_mixed,number_reviews
1178162,84.64,3.49,0.41,11.46,215
7246272,99.82,0.01,0.09,0.07,37
13658522,91.54,0.02,0.1,8.35,3
9364092,80.26,12.24,7.43,0.06,5
12069214,99.91,0.0,0.08,0.0,8
1365335,99.88,0.01,0.1,0.01,9
9610609,99.76,0.01,0.17,0.06,3
4573458,86.53,0.07,0.16,13.25,27
5521378,99.94,0.0,0.05,0.01,6
13943142,51.26,34.83,13.67,0.25,2
3236496,99.93,0.0,0.06,0.01,4
13684464,78.1,0.06,0.26,21.58,4
56927,87.72,0.01,0.07,12.2,5
4610745,88.82,7.09,3.76,0.33,18
12432535,90.02,0.01,0.21,9.76,7
8238078,90.53,0.02,0.18,9.27,5
13225005,99.96,0.0,0.03,0.0,1
9857,87.28,0.27,0.05,12.39,21
9971054,98.78,0.01,0.78,0.43,9
7745117,99.95,0.0,0.04,0.0,11
11008495,91.82,4.98,0.1,3.1,20
13550412,2.21,61.99,35.57,0.23,2
3992208,74.1,7.32,0.74,17.85,184
13077603,99.82,0.01,0.16,0.01,9
4287366,70.97,22.87,5.79,0.37,7
8378257,84.19,13.92,0.1,1.79,7
11474130,99.94,0.0,0.05,0.01,2
13487348,99.92,0.0,0.05,0.02,1
8327907,67.33,20.12,12.34,0.21,3
10353263,74.1,18.02,7.07,0.81,4
14483758,99.47,0.03,0.43,0.07,2
3519768,99.6,0.01,0.09,0.3,12
213086,90.93,0.27,0.18,8.62,22
11986653,85.11,2.82,1.13,10.94,38
14467554,99.87,0.0,0.13,0.0,1
3988018,98.99,0.07,0.25,0.7,173
2376518,99.97,0.0,0.03,0.0,1
27141,74.9,23.84,0.1,1.15,4
9897713,99.65,0.0,0.34,0.01,1
6316145,97.59,0.06,0.05,2.3,74
951476,68.95,1.68,0.08,29.29,3
9865550,99.83,0.0,0.16,0.01,1
3783090,99.95,0.0,0.04,0.01,12
12023024,99.97,0.0,0.02,0.0,1
8354938,99.3,0.06,0.59,0.06,20
6609546,99.53,0.04,0.16,0.27,73
2526773,99.92,0.01,0.07,0.01,6
10138792,97.92,0.0,0.04,2.03,5
6314998,85.27,0.74,1.25,12.74,42
7805515,96.73,0.28,0.24,2.75,17
9057435,99.95,0.0,0.04,0.01,6
6214710,99.86,0.01,0.07,0.06,25
7731797,81.48,3.24,3.15,12.13,26
